,0,1,2,3
t_ogre42.mid,133.40180799999993,G,minor,64
luf1intro.mid,155.40974800000038,A,minor,122
war.mid,66.0,F,minor,80
SuperMetroid-Plant_Boss.mid,124.71957303333386,F,major,220
ffmq-bar.mid,52.058797499999635,A,major,170
07_The_Battle.mid,74.16341083333296,E,minor,100
luf1gate.mid,71.67415200000009,B,minor,221
Blast_Hornet_GW_Mix_XG.mid,194.84792994790922,A,minor,202
Phantom.mid,192.50000000000034,F,major,120
DX-_Opus_13.mid,214.99999999999443,A,minor,120
saturnv.mid,395.9949999999905,A,minor,100
SNES_Toki_Memo_Spring_Break.mid,169.41158400000057,B,major,136
ff6locke.mid,172.94099200000272,G,major,136
ff6battle.mid,167.7104800000013,A,minor,166
Ctprimtn.mid,178.15829410000455,A,minor,101
SB2_Stage_2.mid,237.66979199999906,A,minor,103
bof2-bridge.mid,150.17535600000133,C,minor,120
26-Station1.mid,142.1999999999951,F#,minor,125
Zenkusa_-_RnF_ColdMan_seq_XG.mid,124.40546999999115,G,minor,143
superbomberman2-intro.mid,251.99999999999793,F,major,100
F-Zero_-_Silence.mid,123.0,A-,major,160
luf1port.mid,117.29302000000123,C,major,133
BL_sh94_ending.mid,138.41847199999958,B-,minor,107
NBALive97_menu_zb.mid,203.35243250000931,A,minor,235
Credits.mid,98.04887199999891,F,major,163
z3dark6.mid,119.9952764166637,G,minor,136
T_RockManSoccer_WoodMan.mid,249.88222799999693,E,major,170
bofballa.mid,97.95904000000029,E,minor,98
PNTB_l41.mid,90.0,E,minor,120
ff6_ending1.mid,660.6420231250021,B-,major,120
dq6_tower.mid,125.41910400000008,F#,minor,155
luf2attack.mid,138.11302799999982,F,major,120
FF5_dragn.mid,92.571335999999,F,major,140
F-Zero_-_Fire_Field.mid,169.14268800000016,B-,minor,105
SailorMoonSSF_rei.mid,108.44989154999855,C,minor,135
DKC3Jungle.mid,169.53749999999343,A-,major,200
Chichi.mid,78.46343424999671,C,major,122
ff3batl2.mid,110.11759199999892,A,minor,85
shadow2.mid,119.9998799999975,E,major,81
CV4TheSubmergedCity.mid,406.79687500002336,D,minor,200
The_prince_of_the_Saiyajins_-_Theme_of_Vegeta.mid,128.0000000000002,F#,minor,120
SeasideTown.mid,104.66656200000274,B,major,165
ToP_-_Take_up_the_Cross.mid,150.09375000000108,E,minor,160
Sanctuary.mid,37.325000000001815,G,major,120
Midgard.mid,178.925342499996,A,minor,120
ff3mlaw.mid,116.31819345000005,C,major,65
EarthboundKraken.mid,160.69017721875306,F,major,115
BioMetal-Boss1.mid,106.66458333333246,A-,major,120
BL_fls_valkyries.mid,100.62500000000001,E-,minor,120
rs1_hurry.mid,45.97370986458385,A,minor,120
ximeR_MTED_II_ysatnaF_laniF.mid,106.5,A,major,80
DCIDCHOC.mid,82.49702757499848,C,major,120
SBomb4-World1.mid,155.3958000000007,C,major,138
23-DopplerSelect.mid,76.73333333333342,B,minor,150
gsmikami_4.mid,122.1250206083333,D,minor,117
Dhaos_Resurrection2.mid,141.6394080000007,E,minor,60
ChronoTriggerFrogEnhanced2.mid,113.99988599999978,C#,minor,180
ctmarle3.mid,152.66651400000032,E-,major,90
OH_IM_A_FLAMELET__.mid,178.27660743749772,C,major,140
FFV_-_The_Fire-Powered_Ship.mid,85.01836799999896,E-,major,135
xgctc.mid,257.8685474249954,C#,major,120
YS_Talking_with_Peach_(Orchestrated).mid,82.28116771874954,G,major,140
darius1.mid,64.8851788229165,F,major,122
MM9_Maverick_Battle.mid,100.35974812500282,E,minor,165
ebsatvly.mid,102.85061445833222,A,minor,98
Budokai.mid,126.4666666666693,G,major,120
sd375.mid,53.32456745833316,B,minor,144
GWmerc2.mid,182.89103758332735,A,minor,147
T_MortalKombat_Arena.mid,132.92294400000094,D,major,130
sd344.mid,86.93999999999981,E,major,111
SBomb3-Stage6.mid,85.33324799999734,G,major,135
powell.mid,238.79985074999763,D,major,112
dbz2bvt.mid,252.4432660749995,D,minor,135
Mechanical_Battle.mid,119.14122612499848,B-,major,155
b2open.mid,37.939589499999926,A,minor,120
metal_dancer.mid,73.84622399999937,D,major,116
rh_rudra.mid,124.86773327500143,C,minor,240
dayafter.mid,116.86953600000187,A,minor,115
BL_st3_dragons.mid,96.59693999999952,A,minor,136
z3woods.mid,40.33175125000014,C,major,142
avp.mid,145.78503939999453,E-,minor,135
Danger!.mid,71.10911098958347,A-,major,324
FinalFantasy6_victoryfanfare.mid,60.44438400000034,G,minor,135
